INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_IN_OUT,PRECINCT,JURISDICTION_CODE,LOC_CLASS,LOCATION_DESC,MURDER_FLAG,PERP_AGE,PERP_SEX,PERP_RACE,VIC_AGE,VIC_SEX,VIC_RACE,X_COORD,Y_COORD,LAT,LONG
282543135,2/20/24,23:36:00,BROOKLYN,INSIDE,75,0,COMMERCIAL,GROCERY/BODEGA,N,45-64,M,BLACK,18-24,M,BLACK,1015391,181282,40.6642,-73.88775
280638541,1/16/24,15:00:00,BROOKLYN,INSIDE,73,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,UNKNOWN,M,WHITE,1007743,184918,40.674205,-73.915304
281200475,1/27/24,2:30:00,MANHATTAN,OUTSIDE,34,0,COMMERCIAL,BAR/NIGHT CLUB,N,45-64,M,BLACK,25-44,M,BLACK,1006101,253200,40.861624,-73.921003
280114204,1/7/24,15:03:00,QUEENS,OUTSIDE,103,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1041787,192170,40.693953,-73.792511
282117921,2/12/24,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),N,<18,M,BLACK HISPANIC,<18,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.9147428
283831607,3/15/24,18:05:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,25-44,M,BLACK,18-24,M,BLACK,1004227,186741,40.679217,-73.927974
284584433,3/31/24,4:20:00,BRONX,INSIDE,48,0,COMMERCIAL,GROCERY/BODEGA,Y,25-44,M,BLACK,25-44,M,BLACK,1015722,246426,40.843004,-73.886251
284584434,3/30/24,20:50:00,BRONX,OUTSIDE,46,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068
284540124,3/29/24,19:54:00,MANHATTAN,OUTSIDE,7,0,OTHER,(null),N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,988980,201020,40.71843,-73.982936
284321060,3/25/24,17:48:00,QUEENS,OUTSIDE,101,0,STREET,(null),Y,25-44,M,BLACK HISPANIC,25-44,M,WHITE,1052982,159437,40.60403,-73.752477
280500174,1/12/24,18:47:00,BRONX,INSIDE,52,0,COMMERCIAL,GROCERY/BODEGA,N,<18,M,WHITE HISPANIC,25-44,M,BLACK,1010769,253612,40.862742,-73.904126
283885167,3/16/24,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1011486,252148,40.858721,-73.901537
280502673,1/13/24,18:43:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1009695,243534,40.835085,-73.908047
281250470,1/27/24,18:35:00,STATEN ISLAND,OUTSIDE,120,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,962669,173939,40.644072673643095,-74.07776561
280000369,1/4/24,19:10:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1009968,182502,40.667566,-73.907293
283767688,3/14/24,18:12:00,BRONX,OUTSIDE,41,0,STREET,(null),N,25-44,M,BLACK,25-44,F,BLACK,1013033,238142,40.820276,-73.896006
282117921,2/12/24,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),N,<18,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.9147428
281196350,1/26/24,20:50:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,1041685,198145,40.710354,-73.79283
282033298,2/10/24,5:10:00,BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK HISPANIC,<18,M,BLACK,1015796,257648,40.873803,-73.885931
280120264,1/7/24,17:15:00,BROOKLYN,OUTSIDE,63,0,COMMERCIAL,CHAIN STORE,N,(null),(null),(null),25-44,M,BLACK,1004239,167352,40.625998,-73.927988
283885167,3/16/24,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,45-64,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1011486,252148,40.858721,-73.901537
283500025,3/10/24,0:35:00,BROOKLYN,INSIDE,77,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,996547,184480,40.673024,-73.955668
280822659,1/19/24,18:20:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1006025,185468,40.675719,-73.921496
280568175,1/15/24,14:48:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,999575,236782,40.816576,-73.944633
284583087,3/30/24,13:40:00,BRONX,OUTSIDE,52,0,STREET,(null),N,18-24,M,WHITE HISPANIC,<18,M,BLACK,1012584,253498,40.862423,-73.897562
280107187,1/6/24,14:02:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),65+,F,BLACK,999009,171975,40.638698,-73.946819
283767689,3/14/24,17:37:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,18-24,M,BLACK,18-24,F,BLACK,1052434,199457,40.71387736,-73.75404616
281464670,1/31/24,18:10:00,BROOKLYN,OUTSIDE,71,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,BLACK,1003332,182590,40.66782350363816,-73.93121487
282042587,2/10/24,3:00:00,BROOKLYN,INSIDE,79,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,F,BLACK,999851,193263,40.697126,-73.943737
281134487,1/25/24,20:13:00,QUEENS,OUTSIDE,103,0,STREET,GROCERY/BODEGA,N,25-44,M,ASIAN / PACIFIC ISLANDER,45-64,M,BLACK,1040292,191255,40.691451,-73.797913
280384565,1/11/24,0:56:00,BROOKLYN,OUTSIDE,75,0,PARKING LOT,(null),N,(null),(null),(null),25-44,M,BLACK,1022254,183463,40.67016,-73.862998
281343761,1/30/24,0:32:00,BROOKLYN,INSIDE,71,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),18-24,M,BLACK,1002927,182322,40.667091,-73.932674
